SELECTION,VALUE,PROBABLITY
[0 1 0 0 1],-0.0003461257869554757,0.09828863310272598
[0 0 1 0 1],-0.0009063583843289535,0.098188039532559
[1 0 0 0 1],-0.0011122151448796913,0.09815251421270622
[0 1 1 0 0],-0.0012466741639363121,0.09813373822532316
[0 0 0 1 1],-0.0012792173045488298,0.09812424545834607
[1 1 0 0 0],-0.0014313382688877496,0.09810272841738582
[0 1 0 1 0],-0.0015970283429664889,0.0980749284755397
[1 0 1 0 0],-0.001959518125900672,0.09801100230740743
[0 0 1 1 0],-0.002114286858992287,0.09798575826954053
[1 0 0 1 0],-0.002318606065650819,0.09795154319440642
[0 0 0 0 0],4.029385878339585,0.003757781299812694
[1 0 1 1 0],1.0044615804336168,0.0011129264929769852
[1 1 0 1 0],1.0049897921913669,0.0010979574969176592
[0 1 1 1 0],1.0051702226693102,0.0010930634208761592
[1 0 0 1 1],1.005229343749182,0.0010916468038990263
[1 1 1 0 0],1.0053136877821185,0.0010892934589469855
[0 0 1 1 1],1.0054309668827237,0.0010869807836907334
[1 0 1 0 1],1.0055757440811242,0.001083297838265568
[0 1 0 1 1],1.0059912313808326,0.0010732368445590772
[1 1 0 0 1],1.0061469299202237,0.001069772679168515
[0 1 1 0 1],1.0063288979520575,0.0010653029718373328
[1 1 1 1 1],9.063860761084385,0.001019699383051518
[0 0 0 1 0],1.0059897822110127,0.0005647804311974494
[1 0 0 0 0],1.0061667759053718,0.0005583202855185196
[0 0 1 0 0],1.0063753287390407,0.0005504940621213755
[0 1 0 0 0],1.0068925553543286,0.0005296484946230974
[0 0 0 0 1],1.0072899379589393,0.0005194725741970304
[1 1 1 1 0],4.026641298772915,0.00014048819079552765
[1 0 1 1 1],4.026823783505726,0.00013264494563417645
[1 1 0 1 1],4.027395001245559,0.00012073406565184762
[0 1 1 1 1],4.027572735650384,0.0001164126398003385
[1 1 1 0 1],4.0277062092285085,0.00011291364051883665
